isolation_forest,lof
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
-1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
-1,-1
1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,-1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
-1,-1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,-1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
-1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
-1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
-1,1
1,1
1,1
-1,1
1,1
-1,1
1,1
1,1
1,1
-1,1
-1,1
-1,1
